qtd_threads, tamanho_vet, resultado_PI, tempo(ms)
2, 100000, 300000.00, 0.0010
2, 500000, 1500000.00, 0.0042
2, 1000000, 3000000.00, 0.0078
2, 1500000, 4500000.00, 0.0108
2, 2000000, 6000000.00, 0.0141
2, 2500000, 7500000.00, 0.0176
2, 3000000, 9000000.00, 0.0208
2, 3500000, 10500000.00, 0.0236
2, 4000000, 12000000.00, 0.0276
2, 4500000, 13500000.00, 0.0302
3, 100000, 300000.00, 0.0007
3, 500000, 1500000.00, 0.0026
3, 1000000, 3000000.00, 0.0050
3, 1500000, 4500000.00, 0.0071
3, 2000000, 6000000.00, 0.0092
3, 2500000, 7500000.00, 0.0127
3, 3000000, 9000000.00, 0.0143
3, 3500000, 10500000.00, 0.0191
3, 4000000, 12000000.00, 0.0193
3, 4500000, 13500000.00, 0.0201
4, 100000, 300000.00, 0.0006
4, 500000, 1500000.00, 0.0029
4, 1000000, 3000000.00, 0.0054
4, 1500000, 4500000.00, 0.0078
4, 2000000, 6000000.00, 0.0107
4, 2500000, 7500000.00, 0.0135
4, 3000000, 9000000.00, 0.0143
4, 3500000, 10500000.00, 0.0189
4, 4000000, 12000000.00, 0.0226
4, 4500000, 13500000.00, 0.0243
5, 100000, 300000.00, 0.0007
5, 500000, 1500000.00, 0.0023
5, 1000000, 3000000.00, 0.0044
5, 1500000, 4500000.00, 0.0071
5, 2000000, 6000000.00, 0.0099
5, 2500000, 7500000.00, 0.0110
5, 3000000, 9000000.00, 0.0145
5, 3500000, 10500000.00, 0.0167
5, 4000000, 12000000.00, 0.0173
5, 4500000, 13500000.00, 0.0214
6, 100000, 300000.00, 0.0005
6, 500000, 1500000.00, 0.0016
6, 1000000, 3000000.00, 0.0028
6, 1500000, 4500000.00, 0.0051
6, 2000000, 6000000.00, 0.0061
6, 2500000, 7500000.00, 0.0081
6, 3000000, 9000000.00, 0.0089
6, 3500000, 10500000.00, 0.0111
6, 4000000, 12000000.00, 0.0135
6, 4500000, 13500000.00, 0.0137
