qtd_threads, tamanho_vet, resultado_PI, tempo(ms)
2, 100000, 300000, 0.0004
2, 5000000, 15000000, 0.0063
2, 10000000, 30000000, 0.0097
2, 15000000, 45000000, 0.0233
2, 20000000, 60000000, 0.0193
2, 25000000, 75000000, 0.0305
2, 30000000, 90000000, 0.0312
2, 35000000, 105000000, 0.0338
2, 40000000, 120000000, 0.0402
2, 45000000, 135000000, 0.0461
2, 50000000, 150000000, 0.0517
2, 55000000, 165000000, 0.0554
2, 60000000, 180000000, 0.0603
2, 65000000, 195000000, 0.0614
2, 70000000, 210000000, 0.0642
2, 75000000, 225000000, 0.0745
2, 80000000, 240000000, 0.0780
2, 85000000, 255000000, 0.0903
2, 90000000, 270000000, 0.0922
2, 95000000, 285000000, 0.0884
2, 100000000, 300000000, 0.0924
4, 100000, 300000, 0.0003
4, 5000000, 15000000, 0.0160
4, 10000000, 30000000, 0.0321
4, 15000000, 45000000, 0.0515
4, 20000000, 60000000, 0.0720
4, 25000000, 75000000, 0.0819
4, 30000000, 90000000, 0.0894
4, 35000000, 105000000, 0.1130
4, 40000000, 120000000, 0.1245
4, 45000000, 135000000, 0.1375
4, 50000000, 150000000, 0.1585
4, 55000000, 165000000, 0.1768
4, 60000000, 180000000, 0.2015
4, 65000000, 195000000, 0.1960
4, 70000000, 210000000, 0.2208
4, 75000000, 225000000, 0.2384
4, 80000000, 240000000, 0.2416
4, 85000000, 255000000, 0.2535
4, 90000000, 270000000, 0.2655
4, 95000000, 285000000, 0.2973
4, 100000000, 300000000, 0.3240
6, 100000, 300000, 0.0004
6, 5000000, 15000000, 0.0194
6, 10000000, 30000000, 0.0341
6, 15000000, 45000000, 0.0369
6, 20000000, 60000000, 0.0498
6, 25000000, 75000000, 0.0618
6, 30000000, 90000000, 0.0774
6, 35000000, 105000000, 0.0825
6, 40000000, 120000000, 0.0967
6, 45000000, 135000000, 0.1047
6, 50000000, 150000000, 0.1214
6, 55000000, 165000000, 0.1347
6, 60000000, 180000000, 0.1402
6, 65000000, 195000000, 0.1560
6, 70000000, 210000000, 0.1585
6, 75000000, 225000000, 0.1782
6, 80000000, 240000000, 0.1980
6, 85000000, 255000000, 0.1976
6, 90000000, 270000000, 0.2141
6, 95000000, 285000000, 0.2197
6, 100000000, 300000000, 0.2309
8, 100000, 300000, 0.0004
8, 5000000, 15000000, 0.0073
8, 10000000, 30000000, 0.0249
8, 15000000, 45000000, 0.0310
8, 20000000, 60000000, 0.0510
8, 25000000, 75000000, 0.0608
8, 30000000, 90000000, 0.0617
8, 35000000, 105000000, 0.0953
8, 40000000, 120000000, 0.0868
8, 45000000, 135000000, 0.0990
8, 50000000, 150000000, 0.1150
8, 55000000, 165000000, 0.1295
8, 60000000, 180000000, 0.1207
8, 65000000, 195000000, 0.1397
8, 70000000, 210000000, 0.1578
8, 75000000, 225000000, 0.1282
8, 80000000, 240000000, 0.1826
8, 85000000, 255000000, 0.2007
8, 90000000, 270000000, 0.2104
8, 95000000, 285000000, 0.1618
8, 100000000, 300000000, 0.2402
10, 100000, 300000, 0.0005
10, 5000000, 15000000, 0.0086
10, 10000000, 30000000, 0.0179
10, 15000000, 45000000, 0.0238
10, 20000000, 60000000, 0.0487
10, 25000000, 75000000, 0.0442
10, 30000000, 90000000, 0.0573
10, 35000000, 105000000, 0.0673
10, 40000000, 120000000, 0.0792
10, 45000000, 135000000, 0.0853
10, 50000000, 150000000, 0.1067
10, 55000000, 165000000, 0.1032
10, 60000000, 180000000, 0.1079
10, 65000000, 195000000, 0.1219
10, 70000000, 210000000, 0.1466
10, 75000000, 225000000, 0.1553
10, 80000000, 240000000, 0.1874
10, 85000000, 255000000, 0.2140
10, 90000000, 270000000, 0.1949
10, 95000000, 285000000, 0.1696
10, 100000000, 300000000, 0.1885
