tamanho_vet, resultado_PI, tempo(ms)
100000, 300000, 0.0005
5000000, 15000000, 0.0218
10000000, 30000000, 0.0437
15000000, 45000000, 0.0656
20000000, 60000000, 0.0873
25000000, 75000000, 0.1090
30000000, 90000000, 0.1310
35000000, 105000000, 0.1529
40000000, 120000000, 0.1743
45000000, 135000000, 0.1961
50000000, 150000000, 0.2178
55000000, 165000000, 0.2409
60000000, 180000000, 0.2614
65000000, 195000000, 0.2833
70000000, 210000000, 0.3056
75000000, 225000000, 0.3275
80000000, 240000000, 0.3487
85000000, 255000000, 0.3708
90000000, 270000000, 0.3924
95000000, 285000000, 0.4147
100000000, 300000000, 0.4359
