tamanho_vet, resultado_PI, tempo(ms)
100000, 300000, 0.0005
5000000, 15000000, 0.0220
10000000, 30000000, 0.0436
15000000, 45000000, 0.0656
20000000, 60000000, 0.0872
25000000, 75000000, 0.1089
30000000, 90000000, 0.1310
35000000, 105000000, 0.1529
40000000, 120000000, 0.1745
45000000, 135000000, 0.1960
50000000, 150000000, 0.2177
55000000, 165000000, 0.2397
60000000, 180000000, 0.2614
65000000, 195000000, 0.2833
70000000, 210000000, 0.3051
75000000, 225000000, 0.3268
80000000, 240000000, 0.3485
85000000, 255000000, 0.3706
90000000, 270000000, 0.3925
95000000, 285000000, 0.4149
100000000, 300000000, 0.4358
