tamanho_vet, resultado_PI, tempo(ms)
100000, 300000, 0.0016
5000000, 15000000, 0.0225
10000000, 30000000, 0.0432
15000000, 45000000, 0.0639
20000000, 60000000, 0.0845
25000000, 75000000, 0.1041
30000000, 90000000, 0.1211
35000000, 105000000, 0.1419
40000000, 120000000, 0.1597
45000000, 135000000, 0.1810
50000000, 150000000, 0.2042
55000000, 165000000, 0.2186
60000000, 180000000, 0.2412
65000000, 195000000, 0.2606
70000000, 210000000, 0.2778
75000000, 225000000, 0.3052
80000000, 240000000, 0.3258
85000000, 255000000, 0.3488
90000000, 270000000, 0.3663
95000000, 285000000, 0.3793
100000000, 300000000, 0.4045
